fecha_dato,AC,C_C,NM,CV
2013-03-26 20:00:00,4.2,IN,22,CC85-92
2013-03-25 18:00:00,2.75,IN,25,CC 8592
2013-03-29 17:00:00,1.34,IN,23,CC85-92
2013-03-03 16:00:00,2.02,IN,17,CC84-75
2013-03-03 16:00:00,2.52,IN,17,CC84-75
2013-03-08 17:00:00,2.62,IN,17,CC85-92
2013-03-08 23:00:00,9.3,IN,17,CC85-92
2013-03-09 20:00:00,3.53,IN,17,CC84-75
2013-03-28 16:00:00,9.89,IN,4,CC85-92
2013-03-30 15:00:00,8.7,IN,4,CC85-92
2013-03-12 16:00:00,2.85,IN,25,CC85-92
2013-03-13 17:00:00,3.95,IN,12,CC85-92
2013-03-14 12:00:00,8.29,IN,25,CC87-505
2013-03-14 12:00:00,4.6,IN,25,CC85-92
2013-03-14 12:00:00,9.74,IN,25,CC85-92
2013-03-16 19:00:00,5.44,IN,12,CC44-81
2013-03-16 19:00:00,2.92,IN,12,CC44-81
2013-03-17 15:00:00,22.95,IN,12,CC85-92
2013-03-02 14:00:00,7.07,IN,7,CC85-92
2013-03-09 20:00:00,2.04,IN,7,CC85-92
2013-03-06 18:00:00,2.14,IN,6,CC85-92
2013-03-04 16:00:00,0.6,IN,6,CC85-92
2013-03-06 18:00:00,2.67,IN,6,CC85-92
2013-03-01 22:00:00,0.64,IN,7,CC85-92
2013-03-04 16:00:00,0.28,IN,6,CC85-92
2013-03-09 18:00:00,3.4,IN,6,CC85-92
2013-03-14 19:00:00,0.82,IN,7,CC85-92
2013-03-21 15:00:00,5.09,IN,6,CC85-92
2013-03-23 16:00:00,1.5,IN,7,CC85-92
2013-03-14 12:00:00,10.54,IN,7,CC85-92
2013-03-03 18:00:00,0.4,IN,17,CC93-4418
2013-03-06 15:00:00,0.1,IN,17,CC84-75
