ID,fecha_dato,AC,C_C,NM,CV
1810,2014-11-29 19:00:00,3.2,IN,10,CC93-4418
1811,2014-11-30 02:00:00,0.33,IN,23,CC85-92
1812,2014-11-30 19:00:00,7.7,IN,23,MZC 84-04
1813,2014-11-30 20:00:00,7.54,IN,17,V 7151
1814,2014-11-30 22:00:00,6.15,IN,6,V 7151
1815,2014-12-01 08:00:00,7,IN,17,CC 92-2804
1816,2014-12-01 15:00:00,5.29,IN,17,CC93-4418
1817,2014-12-01 19:00:00,11.16,IN,17,CC 85-92
1818,2014-12-01 20:00:00,0.1,IN,4,CC85-92
1819,2014-12-01 22:00:00,11.53,IN,23,CC85-92
1820,2014-12-01 23:00:00,5.31,IN,21,RB73-2223
1821,2014-12-02 05:00:00,4,IN,17,V 71-51
1822,2014-12-02 13:00:00,13.41,IN,23,CC85-92
1823,2014-12-02 17:00:00,9.85,IN,10,CC93-4418
1824,2014-12-02 18:00:00,3.4,IN,17,CC 01-1228
1825,2014-12-02 20:00:00,2,IN,17,CC 93-4418
1826,2014-12-03 14:00:00,22.18,IN,26,CC85-92
1827,2014-12-03 18:00:00,12.52,IN,17,CC 93-4418
1828,2014-12-03 20:00:00,5.34,IN,12,CC85-92
1829,2014-12-03 23:00:00,5.3,IN,7,CC85-92
1830,2014-12-04 13:00:00,0.69,IN,4,CC93-4418
1831,2014-12-04 17:00:00,1.92,IN,12,CC93-4418
1832,2014-12-04 18:00:00,2.34,IN,12,CC85-92
1833,2014-12-04 20:00:00,4.32,IN,12,CC93-4418
1834,2014-12-04 21:00:00,0.05,IN,17,CC 85-92
1835,2014-12-04 23:00:00,2,IN,1,CC 8592
1836,2014-12-05 10:00:00,3.06,IN,17,CC93-4418
1837,2014-12-05 14:00:00,0.6,IN,17,CC 85-92
1838,2014-12-05 20:00:00,8.59,IN,23,CC85-92
1839,2014-12-06 16:00:00,0.7,IN,4,CC85-92
1840,2014-12-06 17:00:00,3.4,IN,6,PR61-632
1841,2014-12-07 13:00:00,18.97,IN,10,CC85-92
1842,2014-12-07 18:00:00,6.64,IN,17,V 71-51
1843,2014-12-07 20:00:00,11.06,IN,17,VARIAS
1844,2014-12-08 08:00:00,6.88,IN,17,CC 93-4418
1845,2014-12-08 10:00:00,22.4,IN,19,CC85-92
1846,2014-12-08 16:00:00,4.88,IN,17,CC84-75
1847,2014-12-08 19:00:00,2.5,IN,7,CC85-92
1848,2014-12-08 20:00:00,3.2,IN,10,SP71-6949
1849,2014-12-08 21:00:00,1.45,IN,13,CC01-1940
1850,2014-12-09 21:00:00,1.5,IN,13,CC 8592
1851,2014-12-10 20:00:00,1.52,IN,17,CC85-92
1852,2014-12-11 22:00:00,0.5,IN,9,CC93-4418
1853,2014-12-12 19:00:00,4.57,IN,21,CC85-92
1854,2014-12-13 13:00:00,2.57,IN,19,CC 922198
1855,2014-12-13 15:00:00,18.85,IN,18,CC85-92
1856,2014-12-14 15:00:00,7.79,IN,18,CC84-75
1857,2014-12-15 15:00:00,4.34,IN,13,CC01-1940
1858,2014-12-15 18:00:00,9.47,IN,10,CC93-4418
1859,2014-12-15 19:00:00,5.5,IN,17,CC85-92
1860,2014-12-16 11:00:00,7.9,IN,17,CC 85-92
1861,2014-12-16 14:00:00,5.34,IN,18,CC84-75
1862,2014-12-16 21:00:00,1,IN,18,CC 8475
1863,2014-12-17 20:00:00,2.39,IN,12,CC85-92
1864,2014-12-18 15:00:00,19.82,IN,25,CC44-18
1865,2014-12-18 19:00:00,2.04,IN,7,CC85-92
1866,2014-12-18 21:00:00,2,IN,19,CC 8592
1867,2014-12-18 22:00:00,1.71,IN,7,CC85-92
1868,2014-12-19 19:00:00,23.95,IN,12,CC85-92
1869,2014-12-19 22:00:00,21.82,IN,9,CC93-4418
1870,2014-12-20 01:00:00,13.58,IN,7,CC 85-92
1871,2014-12-20 18:00:00,15.23,IN,12,CC84-75
1872,2014-12-20 22:00:00,2.23,IN,9,CC85-92
1873,2014-12-21 13:00:00,20.44,IN,4,CC44-18
1874,2014-12-21 20:00:00,3.53,IN,23,CC85-92
1875,2014-12-21 23:00:00,3.93,IN,9,CC01-1228
1876,2014-12-22 16:00:00,4.56,IN,7,CC85-92
1877,2014-12-22 17:00:00,2.65,IN,6,CC85-92
1878,2014-12-22 19:00:00,4.13,IN,10,SP71-6949
1879,2014-12-22 21:00:00,0.3,IN,18,CC 8475
1880,2014-12-23 11:00:00,1.58,IN,4,CC44-18
1881,2014-12-23 20:00:00,0.25,IN,17,CC 85-92
1882,2014-12-24 16:00:00,1.4,IN,17,CC85-92
1883,2014-12-25 13:00:00,9.9,IN,17,CC 01-1940
1884,2014-12-25 18:00:00,1.87,IN,12,CC44-18
1885,2014-12-25 19:00:00,5.21,IN,25,SP24-64
1886,2014-12-25 20:00:00,2.82,IN,12,CC93-4418
1887,2014-12-26 22:00:00,15.99,IN,17,V 71-51
1888,2014-12-27 12:00:00,6.4,IN,9,CC85-92
1889,2014-12-28 02:00:00,5.76,IN,17,CC85-92
1890,2014-12-28 10:00:00,13.12,IN,17,CC 93-4418
1891,2014-12-28 13:00:00,2.09,IN,17,CC85-92
1892,2014-12-28 14:00:00,23.5,IN,12,CC85-92
1893,2014-12-28 16:00:00,4,IN,17,CC 85-92
1894,2014-12-28 20:00:00,10.85,IN,9,CC85-92
